engagement_id,customer_id,date,action_type,device_type,session_duration,pages_viewed,actions_taken
ENG0000963,CUS000639,2023-06-29,Watch Educational Video,Mobile Phone,10,5,2
ENG0000964,CUS000187,2024-06-04,Contact Support,Tablet,6,3,1
ENG0000965,CUS000301,2023-12-19,Modify Investment,Smart TV,7,3,1
ENG0000966,CUS000425,2023-10-03,Modify Investment,Mobile Phone,5,2,1
ENG0000967,CUS000435,2021-11-04,View Balance,Tablet,5,2,1
ENG0000968,CUS000863,2024-03-14,Use Planning Tool,Smart TV,5,2,1
ENG0000969,CUS000979,2022-09-05,View Balance,Tablet,7,3,1
ENG0000970,CUS000837,2024-09-24,Watch Educational Video,Voice Assistant,17,8,4
ENG0000971,CUS000107,2024-09-06,Contact Support,Desktop,10,5,2
ENG0000972,CUS000166,2021-06-20,Contact Support,Tablet,9,4,2
ENG0000973,CUS000651,2024-08-31,Watch Educational Video,Tablet,15,7,3
ENG0000974,CUS000047,2021-05-26,Update Profile,Mobile Phone,1,1,1
ENG0000975,CUS000371,2023-02-17,Update Profile,Tablet,3,1,1
ENG0000976,CUS000260,2024-01-26,Download Statement,Mobile Phone,2,1,1
ENG0000977,CUS000912,2023-08-04,Contact Support,Tablet,8,4,2
ENG0000978,CUS000800,2022-04-11,View Balance,Tablet,9,4,2
ENG0000979,CUS000765,2021-01-09,Update Profile,Mobile Phone,2,1,1
ENG0000980,CUS000609,2024-01-02,Watch Educational Video,Voice Assistant,6,3,1
ENG0000981,CUS000112,2024-06-06,View Balance,Tablet,7,3,1
ENG0000982,CUS000173,2021-01-15,Login,Mobile Phone,5,2,1
ENG0000983,CUS000078,2024-05-07,Use Planning Tool,Mobile Phone,5,2,1
ENG0000984,CUS000001,2024-06-16,Watch Educational Video,Smart TV,14,7,3
ENG0000985,CUS000291,2024-09-03,Download Statement,Tablet,1,1,1
ENG0000986,CUS000171,2024-02-19,Watch Educational Video,Smart TV,21,10,5
ENG0000987,CUS000802,2024-06-11,Research Product,Voice Assistant,8,4,2
ENG0000988,CUS000738,2024-08-18,Use Planning Tool,Voice Assistant,19,9,4
ENG0000989,CUS000750,2023-09-28,Download Statement,Voice Assistant,2,1,1
ENG0000990,CUS000628,2023-10-27,Modify Investment,Tablet,10,5,2
ENG0000991,CUS000330,2022-01-22,Download Statement,Mobile Phone,1,1,1
ENG0000992,CUS000443,2024-07-17,Watch Educational Video,Mobile Phone,22,11,5
ENG0000993,CUS000289,2022-11-21,Login,Mobile Phone,3,1,1
ENG0000994,CUS000944,2024-03-28,Complete Survey,Mobile Phone,4,2,1
ENG0000995,CUS000982,2022-06-21,Contact Support,Desktop,10,5,2
ENG0000996,CUS000116,2023-10-27,Research Product,Mobile Phone,24,12,6
ENG0000997,CUS000895,2024-09-14,Watch Educational Video,Smart TV,14,7,3
ENG0000998,CUS000190,2024-07-16,Modify Investment,Tablet,8,4,2
ENG0000999,CUS000283,2023-04-29,Modify Investment,Smart TV,3,1,1
ENG0001000,CUS000043,2023-02-25,Contact Support,Desktop,6,3,1
ENG0001001,CUS000295,2022-09-14,Modify Investment,Smart TV,10,5,2
ENG0001002,CUS000200,2022-03-13,Login,Voice Assistant,3,1,1
ENG0001003,CUS000784,2024-04-29,Download Statement,Voice Assistant,5,2,1
ENG0001004,CUS000301,2024-07-22,Login,Mobile Phone,1,1,1
ENG0001005,CUS000667,2024-07-08,Use Planning Tool,Mobile Phone,8,4,2
ENG0001006,CUS000444,2022-02-13,Watch Educational Video,Tablet,14,7,3
ENG0001007,CUS000669,2024-03-27,Modify Investment,Tablet,2,1,1
ENG0001008,CUS000472,2021-04-25,Login,Desktop,4,2,1
ENG0001009,CUS000184,2024-06-02,Login,Tablet,4,2,1
ENG0001010,CUS000313,2023-06-16,Research Product,Mobile Phone,28,14,7
ENG0001011,CUS000043,2023-02-05,Download Statement,Mobile Phone,5,2,1
ENG0001012,CUS000003,2021-12-30,Download Statement,Smart TV,1,1,1
ENG0001013,CUS000455,2023-06-08,Use Planning Tool,Tablet,25,12,6
ENG0001014,CUS000795,2021-12-17,Modify Investment,Mobile Phone,7,3,1
ENG0001015,CUS000672,2023-03-22,View Balance,Desktop,6,3,1
ENG0001016,CUS000769,2024-07-23,Login,Tablet,4,2,1
ENG0001017,CUS000124,2022-05-03,Download Statement,Desktop,4,2,1
ENG0001018,CUS000444,2022-12-19,Complete Survey,Voice Assistant,4,2,1
ENG0001019,CUS000366,2022-08-25,Download Statement,Mobile Phone,3,1,1
ENG0001020,CUS000474,2024-03-21,Modify Investment,Mobile Phone,3,1,1
ENG0001021,CUS000928,2020-12-18,Modify Investment,Mobile Phone,7,3,1
ENG0001022,CUS000794,2021-08-03,View Balance,Tablet,7,3,1
ENG0001023,CUS000224,2023-07-15,Download Statement,Mobile Phone,3,1,1
ENG0001024,CUS000341,2024-07-29,Complete Survey,Smart TV,8,4,2
ENG0001025,CUS000389,2020-04-11,Complete Survey,Smart TV,6,3,1
ENG0001026,CUS000318,2024-03-06,Research Product,Smart TV,17,8,4
ENG0001027,CUS000557,2024-04-10,Watch Educational Video,Smart TV,17,8,4
ENG0001028,CUS000989,2022-01-13,Login,Desktop,3,1,1
ENG0001029,CUS000315,2024-04-14,Modify Investment,Tablet,6,3,1
ENG0001030,CUS000845,2022-12-30,Research Product,Mobile Phone,20,10,5
ENG0001031,CUS000262,2023-09-24,Login,Mobile Phone,1,1,1
ENG0001032,CUS000513,2024-06-12,View Balance,Smart TV,10,5,2
ENG0001033,CUS000502,2023-11-17,Update Profile,Tablet,2,1,1
ENG0001034,CUS000674,2023-06-08,Contact Support,Tablet,5,2,1
ENG0001035,CUS000845,2023-07-26,Modify Investment,Mobile Phone,4,2,1
ENG0001036,CUS000930,2022-01-30,Download Statement,Desktop,1,1,1
ENG0001037,CUS000145,2024-09-23,Contact Support,Voice Assistant,6,3,1
ENG0001038,CUS000577,2022-03-28,Login,Tablet,2,1,1
ENG0001039,CUS000519,2023-12-03,Complete Survey,Smart TV,3,1,1
ENG0001040,CUS000469,2024-03-30,Login,Tablet,4,2,1
ENG0001041,CUS000799,2024-09-27,Research Product,Tablet,27,13,6
ENG0001042,CUS000828,2023-12-07,Contact Support,Mobile Phone,8,4,2
ENG0001043,CUS000147,2023-10-08,Update Profile,Smart TV,2,1,1
ENG0001044,CUS000104,2024-04-20,Watch Educational Video,Mobile Phone,28,14,7
ENG0001045,CUS000520,2023-07-02,Contact Support,Smart TV,10,5,2
ENG0001046,CUS000698,2022-01-04,Use Planning Tool,Mobile Phone,22,11,5
ENG0001047,CUS000465,2023-09-14,View Balance,Tablet,7,3,1
ENG0001048,CUS000128,2024-06-17,Complete Survey,Tablet,6,3,1
ENG0001049,CUS000314,2023-11-06,Login,Desktop,2,1,1
ENG0001050,CUS000159,2024-08-30,Update Profile,Desktop,1,1,1
ENG0001051,CUS000644,2024-08-30,View Balance,Smart TV,4,2,1
ENG0001052,CUS000294,2023-03-31,Login,Desktop,4,2,1
ENG0001053,CUS000778,2023-06-17,View Balance,Voice Assistant,6,3,1
ENG0001054,CUS000398,2024-02-06,Complete Survey,Tablet,10,5,2
ENG0001055,CUS000092,2024-07-21,Research Product,Mobile Phone,26,13,6
ENG0001056,CUS000145,2024-09-08,Watch Educational Video,Voice Assistant,19,9,4
ENG0001057,CUS000659,2021-09-12,View Balance,Desktop,8,4,2
ENG0001058,CUS000696,2023-10-22,Login,Mobile Phone,3,1,1
ENG0001059,CUS000096,2022-10-01,Login,Tablet,4,2,1
ENG0001060,CUS000407,2024-02-24,Update Profile,Mobile Phone,4,2,1
ENG0001061,CUS000158,2022-04-27,Complete Survey,Mobile Phone,7,3,1
ENG0001062,CUS000145,2024-09-03,View Balance,Smart TV,10,5,2
ENG0001063,CUS000974,2024-07-27,Download Statement,Desktop,3,1,1
ENG0001064,CUS000098,2021-01-18,Modify Investment,Tablet,5,2,1
ENG0001065,CUS000250,2024-06-09,Research Product,Mobile Phone,12,6,3
ENG0001066,CUS000083,2024-03-29,Research Product,Desktop,26,13,6
ENG0001067,CUS000602,2024-04-02,Contact Support,Voice Assistant,9,4,2
ENG0001068,CUS000177,2024-04-13,Contact Support,Tablet,2,1,1
ENG0001069,CUS000155,2023-08-02,Contact Support,Mobile Phone,6,3,1
ENG0001070,CUS000291,2024-07-26,Use Planning Tool,Mobile Phone,5,2,1
ENG0001071,CUS000257,2023-10-26,Update Profile,Mobile Phone,1,1,1
ENG0001072,CUS000754,2024-09-24,Research Product,Voice Assistant,6,3,1
ENG0001073,CUS000786,2024-07-30,Research Product,Tablet,23,11,5
ENG0001074,CUS000288,2024-03-08,Contact Support,Tablet,9,4,2
ENG0001075,CUS000648,2023-06-14,Login,Voice Assistant,4,2,1
ENG0001076,CUS000031,2023-12-09,Contact Support,Voice Assistant,2,1,1
ENG0001077,CUS000515,2022-05-24,Research Product,Tablet,8,4,2
ENG0001078,CUS000665,2024-08-20,Contact Support,Tablet,5,2,1
ENG0001079,CUS000977,2024-04-25,View Balance,Tablet,2,1,1
ENG0001080,CUS000639,2023-11-29,View Balance,Mobile Phone,6,3,1
ENG0001081,CUS000195,2023-06-02,Contact Support,Smart TV,10,5,2
ENG0001082,CUS000057,2023-02-02,View Balance,Mobile Phone,10,5,2
ENG0001083,CUS000126,2024-09-04,Complete Survey,Smart TV,9,4,2
ENG0001084,CUS000866,2024-09-20,Modify Investment,Tablet,8,4,2
ENG0001085,CUS000215,2021-02-09,Use Planning Tool,Smart TV,29,14,7
ENG0001086,CUS000894,2024-06-30,Use Planning Tool,Mobile Phone,8,4,2
ENG0001087,CUS000935,2024-02-28,Download Statement,Tablet,2,1,1
ENG0001088,CUS000568,2024-09-16,Login,Tablet,5,2,1
ENG0001089,CUS000606,2024-07-29,Watch Educational Video,Desktop,11,5,2
ENG0001090,CUS000685,2023-11-01,Research Product,Tablet,23,11,5
ENG0001091,CUS000361,2024-02-18,View Balance,Tablet,5,2,1
ENG0001092,CUS000312,2024-01-27,Research Product,Smart TV,7,3,1
ENG0001093,CUS000454,2022-09-10,Contact Support,Smart TV,10,5,2
ENG0001094,CUS000756,2024-01-25,View Balance,Voice Assistant,7,3,1
ENG0001095,CUS000667,2024-08-21,Download Statement,Smart TV,3,1,1
ENG0001096,CUS000321,2023-03-01,View Balance,Voice Assistant,6,3,1
ENG0001097,CUS000264,2023-06-23,Contact Support,Tablet,5,2,1
ENG0001098,CUS000843,2020-08-16,Update Profile,Mobile Phone,5,2,1
ENG0001099,CUS000520,2021-09-26,Modify Investment,Tablet,3,1,1
ENG0001100,CUS000388,2024-02-03,Modify Investment,Smart TV,4,2,1
ENG0001101,CUS000281,2024-06-29,Watch Educational Video,Voice Assistant,11,5,2
ENG0001102,CUS000299,2022-09-10,Research Product,Mobile Phone,29,14,7
ENG0001103,CUS000269,2023-04-02,Modify Investment,Tablet,5,2,1
ENG0001104,CUS000517,2023-05-20,Watch Educational Video,Tablet,20,10,5
ENG0001105,CUS000637,2021-07-21,Contact Support,Tablet,5,2,1
ENG0001106,CUS000142,2023-11-04,Update Profile,Tablet,2,1,1
ENG0001107,CUS000237,2021-09-14,Watch Educational Video,Desktop,22,11,5
ENG0001108,CUS000170,2024-07-15,Update Profile,Voice Assistant,5,2,1
ENG0001109,CUS000291,2023-11-11,Download Statement,Tablet,3,1,1
ENG0001110,CUS000684,2022-08-04,Update Profile,Mobile Phone,5,2,1
ENG0001111,CUS000085,2023-03-26,Watch Educational Video,Tablet,20,10,5
ENG0001112,CUS000702,2021-12-21,Complete Survey,Voice Assistant,6,3,1
ENG0001113,CUS000607,2024-06-13,View Balance,Tablet,4,2,1
ENG0001114,CUS000602,2023-12-31,View Balance,Tablet,9,4,2
ENG0001115,CUS000662,2023-06-04,Use Planning Tool,Smart TV,14,7,3
ENG0001116,CUS000179,2024-07-11,Use Planning Tool,Desktop,22,11,5
ENG0001117,CUS000329,2024-04-07,Research Product,Voice Assistant,23,11,5
ENG0001118,CUS000988,2022-05-27,Modify Investment,Voice Assistant,10,5,2
ENG0001119,CUS000442,2022-04-15,Download Statement,Mobile Phone,4,2,1
ENG0001120,CUS000882,2024-05-12,Login,Mobile Phone,5,2,1
ENG0001121,CUS000833,2022-07-15,Modify Investment,Tablet,3,1,1
ENG0001122,CUS000925,2021-06-21,Download Statement,Voice Assistant,5,2,1
ENG0001123,CUS000205,2024-01-08,Use Planning Tool,Voice Assistant,20,10,5
ENG0001124,CUS000388,2022-12-18,Use Planning Tool,Mobile Phone,29,14,7
ENG0001125,CUS000265,2024-05-09,Modify Investment,Tablet,4,2,1
ENG0001126,CUS000519,2024-08-10,Use Planning Tool,Voice Assistant,27,13,6
ENG0001127,CUS000473,2023-06-30,Update Profile,Smart TV,3,1,1
ENG0001128,CUS000840,2021-01-30,Update Profile,Mobile Phone,1,1,1
ENG0001129,CUS000897,2024-08-17,Update Profile,Smart TV,3,1,1
ENG0001130,CUS000416,2024-09-12,Contact Support,Mobile Phone,5,2,1
ENG0001131,CUS000850,2024-01-10,Watch Educational Video,Mobile Phone,7,3,1
ENG0001132,CUS000491,2024-08-31,Research Product,Smart TV,14,7,3
ENG0001133,CUS000584,2024-09-05,Contact Support,Desktop,6,3,1
ENG0001134,CUS000497,2024-08-27,Modify Investment,Desktop,8,4,2
ENG0001135,CUS000132,2023-06-20,Complete Survey,Mobile Phone,4,2,1
ENG0001136,CUS000101,2022-01-24,Modify Investment,Tablet,6,3,1
ENG0001137,CUS000925,2022-04-10,Complete Survey,Voice Assistant,8,4,2
ENG0001138,CUS000360,2023-05-26,Login,Voice Assistant,5,2,1
ENG0001139,CUS000441,2024-02-11,Use Planning Tool,Desktop,6,3,1
ENG0001140,CUS000938,2024-03-13,Research Product,Mobile Phone,14,7,3
ENG0001141,CUS000776,2024-08-02,Modify Investment,Desktop,4,2,1
ENG0001142,CUS000283,2024-07-22,Download Statement,Smart TV,3,1,1
ENG0001143,CUS000687,2023-02-17,View Balance,Voice Assistant,4,2,1
ENG0001144,CUS000943,2024-03-03,View Balance,Mobile Phone,3,1,1
ENG0001145,CUS000638,2024-08-27,Login,Mobile Phone,1,1,1
ENG0001146,CUS000010,2024-03-27,Update Profile,Tablet,1,1,1
ENG0001147,CUS000582,2022-03-26,View Balance,Desktop,6,3,1
ENG0001148,CUS000646,2021-09-17,Complete Survey,Mobile Phone,9,4,2
ENG0001149,CUS000887,2024-08-01,Contact Support,Voice Assistant,10,5,2
ENG0001150,CUS000608,2021-05-02,Contact Support,Desktop,4,2,1
ENG0001151,CUS000584,2024-05-12,Modify Investment,Voice Assistant,8,4,2
ENG0001152,CUS000666,2023-03-06,Research Product,Tablet,22,11,5
ENG0001153,CUS000265,2024-07-18,Login,Mobile Phone,3,1,1
ENG0001154,CUS000288,2024-01-04,Watch Educational Video,Mobile Phone,5,2,1
ENG0001155,CUS000136,2022-12-10,Modify Investment,Mobile Phone,7,3,1
ENG0001156,CUS000513,2024-06-07,Research Product,Desktop,24,12,6
ENG0001157,CUS000163,2023-09-04,Watch Educational Video,Desktop,9,4,2
ENG0001158,CUS000879,2023-07-20,Download Statement,Mobile Phone,3,1,1
ENG0001159,CUS000156,2023-01-12,Login,Smart TV,5,2,1
ENG0001160,CUS000731,2021-03-28,Download Statement,Smart TV,5,2,1
ENG0001161,CUS000327,2022-12-07,Download Statement,Mobile Phone,4,2,1
ENG0001162,CUS000860,2024-09-28,Watch Educational Video,Mobile Phone,16,8,4
ENG0001163,CUS000701,2022-05-14,Research Product,Mobile Phone,13,6,3
ENG0001164,CUS000032,2024-09-26,Modify Investment,Tablet,4,2,1
ENG0001165,CUS000061,2024-05-06,Contact Support,Voice Assistant,2,1,1
ENG0001166,CUS000028,2024-03-12,Use Planning Tool,Mobile Phone,22,11,5
ENG0001167,CUS000572,2022-11-18,Watch Educational Video,Tablet,23,11,5
ENG0001168,CUS000629,2022-07-01,Research Product,Smart TV,12,6,3
ENG0001169,CUS000384,2024-06-10,Watch Educational Video,Desktop,24,12,6
ENG0001170,CUS000029,2022-08-02,Research Product,Voice Assistant,25,12,6
ENG0001171,CUS000176,2022-04-16,Research Product,Tablet,12,6,3
ENG0001172,CUS000161,2024-05-03,Login,Tablet,1,1,1
ENG0001173,CUS000327,2023-08-11,Research Product,Tablet,26,13,6
ENG0001174,CUS000134,2024-09-18,Contact Support,Tablet,9,4,2
ENG0001175,CUS000989,2024-04-22,View Balance,Voice Assistant,4,2,1
ENG0001176,CUS000959,2021-08-06,Update Profile,Mobile Phone,2,1,1
ENG0001177,CUS000237,2023-09-16,Watch Educational Video,Mobile Phone,27,13,6
ENG0001178,CUS000368,2023-11-10,Use Planning Tool,Mobile Phone,12,6,3
ENG0001179,CUS000692,2022-12-15,Modify Investment,Voice Assistant,6,3,1
ENG0001180,CUS000117,2022-07-14,Complete Survey,Desktop,6,3,1
ENG0001181,CUS000728,2022-10-24,View Balance,Smart TV,5,2,1
ENG0001182,CUS000589,2023-12-14,Login,Tablet,4,2,1
ENG0001183,CUS000683,2024-02-22,Contact Support,Tablet,8,4,2
ENG0001184,CUS000742,2023-02-16,Modify Investment,Mobile Phone,6,3,1
ENG0001185,CUS000994,2024-03-18,Watch Educational Video,Smart TV,11,5,2
ENG0001186,CUS000933,2023-08-12,Watch Educational Video,Mobile Phone,6,3,1
ENG0001187,CUS000544,2024-09-05,Login,Smart TV,2,1,1
ENG0001188,CUS000771,2022-01-11,Watch Educational Video,Tablet,22,11,5
ENG0001189,CUS000254,2024-08-12,Download Statement,Mobile Phone,5,2,1
ENG0001190,CUS000288,2024-03-20,Update Profile,Desktop,5,2,1
ENG0001191,CUS000687,2023-02-03,Download Statement,Smart TV,3,1,1
ENG0001192,CUS000271,2023-10-30,View Balance,Voice Assistant,6,3,1
ENG0001193,CUS000342,2023-11-21,Contact Support,Mobile Phone,10,5,2
ENG0001194,CUS000751,2024-01-07,Update Profile,Tablet,1,1,1
ENG0001195,CUS000517,2023-09-17,Use Planning Tool,Smart TV,22,11,5
ENG0001196,CUS000547,2024-01-14,Watch Educational Video,Tablet,22,11,5
ENG0001197,CUS000821,2022-04-20,Update Profile,Mobile Phone,2,1,1
ENG0001198,CUS000793,2024-09-15,Update Profile,Voice Assistant,5,2,1
ENG0001199,CUS000872,2024-05-13,Contact Support,Mobile Phone,2,1,1
ENG0001200,CUS000659,2023-02-10,Download Statement,Mobile Phone,5,2,1
ENG0001201,CUS000783,2022-10-16,Update Profile,Voice Assistant,5,2,1
ENG0001202,CUS000853,2023-04-12,Watch Educational Video,Desktop,18,9,4
ENG0001203,CUS000461,2023-07-25,Download Statement,Mobile Phone,5,2,1
ENG0001204,CUS000972,2024-04-18,Update Profile,Voice Assistant,3,1,1
ENG0001205,CUS000015,2023-05-13,Modify Investment,Tablet,8,4,2
ENG0001206,CUS000846,2021-02-27,Use Planning Tool,Desktop,16,8,4
ENG0001207,CUS000647,2024-01-10,Modify Investment,Voice Assistant,6,3,1
ENG0001208,CUS000736,2022-10-10,Use Planning Tool,Smart TV,28,14,7
ENG0001209,CUS000197,2023-12-23,Modify Investment,Mobile Phone,10,5,2
ENG0001210,CUS000421,2023-06-18,Research Product,Desktop,23,11,5
ENG0001211,CUS000567,2020-02-25,View Balance,Voice Assistant,5,2,1
ENG0001212,CUS000291,2023-11-18,Modify Investment,Desktop,6,3,1
ENG0001213,CUS000393,2022-06-29,Research Product,Desktop,7,3,1
ENG0001214,CUS000783,2023-03-23,Complete Survey,Tablet,7,3,1
ENG0001215,CUS000943,2024-07-13,Watch Educational Video,Smart TV,7,3,1
ENG0001216,CUS000541,2024-03-29,View Balance,Smart TV,5,2,1
ENG0001217,CUS000285,2021-10-04,View Balance,Mobile Phone,4,2,1
ENG0001218,CUS000709,2024-08-05,Download Statement,Mobile Phone,2,1,1
ENG0001219,CUS000882,2024-08-07,Research Product,Mobile Phone,18,9,4
ENG0001220,CUS000626,2022-11-15,Download Statement,Desktop,4,2,1
ENG0001221,CUS000408,2023-02-15,View Balance,Tablet,8,4,2
ENG0001222,CUS000190,2024-01-27,Use Planning Tool,Tablet,15,7,3
ENG0001223,CUS000735,2023-11-26,View Balance,Voice Assistant,7,3,1
ENG0001224,CUS000116,2024-05-28,Research Product,Mobile Phone,15,7,3
ENG0001225,CUS000465,2023-08-22,Use Planning Tool,Tablet,22,11,5
ENG0001226,CUS000593,2024-05-28,Research Product,Desktop,30,15,7
ENG0001227,CUS000694,2023-06-05,Contact Support,Tablet,6,3,1
ENG0001228,CUS000918,2023-04-09,Download Statement,Smart TV,1,1,1
ENG0001229,CUS000974,2023-06-28,Modify Investment,Voice Assistant,8,4,2
ENG0001230,CUS000868,2022-05-23,Modify Investment,Mobile Phone,7,3,1
ENG0001231,CUS000073,2024-05-12,Use Planning Tool,Smart TV,28,14,7
ENG0001232,CUS000944,2024-07-04,Use Planning Tool,Desktop,23,11,5
ENG0001233,CUS000880,2022-11-14,Complete Survey,Tablet,7,3,1
ENG0001234,CUS000008,2023-07-10,Update Profile,Tablet,1,1,1
ENG0001235,CUS000598,2024-08-12,Use Planning Tool,Tablet,24,12,6
ENG0001236,CUS000209,2023-12-05,Download Statement,Tablet,5,2,1
ENG0001237,CUS000784,2023-11-24,Watch Educational Video,Voice Assistant,24,12,6
ENG0001238,CUS000650,2024-08-20,Update Profile,Mobile Phone,4,2,1
ENG0001239,CUS000166,2022-03-01,Use Planning Tool,Mobile Phone,12,6,3
ENG0001240,CUS000581,2022-06-03,Login,Tablet,5,2,1
ENG0001241,CUS000188,2023-11-18,Use Planning Tool,Mobile Phone,26,13,6
ENG0001242,CUS000035,2023-02-03,Complete Survey,Mobile Phone,3,1,1
ENG0001243,CUS000841,2024-04-13,Login,Mobile Phone,3,1,1
ENG0001244,CUS000879,2023-06-05,Watch Educational Video,Tablet,28,14,7
ENG0001245,CUS000729,2023-06-03,Download Statement,Tablet,5,2,1
ENG0001246,CUS000730,2023-06-04,Watch Educational Video,Smart TV,16,8,4
ENG0001247,CUS000257,2024-09-17,Contact Support,Voice Assistant,3,1,1
ENG0001248,CUS000425,2024-07-17,Contact Support,Tablet,9,4,2
ENG0001249,CUS000901,2024-05-11,Download Statement,Desktop,2,1,1
ENG0001250,CUS000077,2024-08-10,Use Planning Tool,Tablet,16,8,4
ENG0001251,CUS000208,2024-06-29,Login,Desktop,1,1,1
ENG0001252,CUS000523,2024-04-24,Contact Support,Mobile Phone,7,3,1
ENG0001253,CUS000985,2023-07-25,Research Product,Desktop,9,4,2
ENG0001254,CUS000407,2023-07-06,Modify Investment,Mobile Phone,10,5,2
ENG0001255,CUS000043,2022-11-19,Watch Educational Video,Mobile Phone,17,8,4
ENG0001256,CUS000896,2024-03-08,Contact Support,Desktop,8,4,2
ENG0001257,CUS000729,2024-06-21,Modify Investment,Smart TV,5,2,1
ENG0001258,CUS000266,2024-08-14,Download Statement,Smart TV,2,1,1
ENG0001259,CUS000444,2021-03-25,Modify Investment,Desktop,10,5,2
ENG0001260,CUS000888,2022-11-11,Login,Tablet,5,2,1
ENG0001261,CUS000622,2024-03-11,View Balance,Voice Assistant,8,4,2
ENG0001262,CUS000560,2021-11-19,Update Profile,Tablet,4,2,1
ENG0001263,CUS000715,2022-05-18,Contact Support,Desktop,6,3,1
ENG0001264,CUS000227,2024-04-19,Complete Survey,Tablet,9,4,2
ENG0001265,CUS000045,2024-03-25,Update Profile,Desktop,1,1,1
ENG0001266,CUS000934,2023-02-12,Download Statement,Tablet,3,1,1
ENG0001267,CUS000524,2024-07-15,View Balance,Tablet,7,3,1
ENG0001268,CUS000621,2023-10-04,View Balance,Tablet,7,3,1
ENG0001269,CUS000534,2023-02-25,Login,Mobile Phone,5,2,1
ENG0001270,CUS000134,2021-09-27,Watch Educational Video,Desktop,17,8,4
ENG0001271,CUS000758,2024-08-28,Watch Educational Video,Mobile Phone,6,3,1
ENG0001272,CUS000613,2023-04-19,Download Statement,Tablet,1,1,1
ENG0001273,CUS000406,2024-05-27,Research Product,Voice Assistant,22,11,5
ENG0001274,CUS000229,2023-11-29,Modify Investment,Desktop,9,4,2
ENG0001275,CUS000147,2024-06-14,Complete Survey,Desktop,4,2,1
ENG0001276,CUS000549,2023-12-03,Complete Survey,Mobile Phone,2,1,1
ENG0001277,CUS000880,2022-10-20,Modify Investment,Tablet,10,5,2
ENG0001278,CUS000259,2024-03-05,Login,Mobile Phone,4,2,1
ENG0001279,CUS000992,2023-05-27,Watch Educational Video,Mobile Phone,15,7,3
ENG0001280,CUS000446,2021-02-04,Use Planning Tool,Smart TV,13,6,3
ENG0001281,CUS000179,2024-07-17,Research Product,Smart TV,7,3,1
ENG0001282,CUS000068,2024-03-06,Research Product,Tablet,17,8,4
ENG0001283,CUS000235,2022-05-15,Watch Educational Video,Smart TV,14,7,3
ENG0001284,CUS000603,2024-05-27,Complete Survey,Mobile Phone,6,3,1
ENG0001285,CUS000381,2023-06-13,Contact Support,Smart TV,2,1,1
ENG0001286,CUS000571,2024-03-02,Update Profile,Mobile Phone,4,2,1
ENG0001287,CUS000966,2024-08-31,Modify Investment,Tablet,8,4,2
ENG0001288,CUS000785,2022-07-20,Update Profile,Tablet,2,1,1
ENG0001289,CUS000690,2023-06-30,Update Profile,Smart TV,1,1,1
ENG0001290,CUS000220,2024-09-19,Update Profile,Mobile Phone,2,1,1
ENG0001291,CUS000029,2024-06-15,Watch Educational Video,Mobile Phone,22,11,5
ENG0001292,CUS000828,2024-01-01,Research Product,Mobile Phone,30,15,7
ENG0001293,CUS000412,2024-06-14,Modify Investment,Mobile Phone,2,1,1
ENG0001294,CUS000685,2024-04-28,Contact Support,Mobile Phone,10,5,2
ENG0001295,CUS000992,2023-03-04,Download Statement,Smart TV,4,2,1
ENG0001296,CUS000152,2022-02-06,Modify Investment,Mobile Phone,5,2,1
ENG0001297,CUS000811,2024-02-03,Login,Mobile Phone,5,2,1
ENG0001298,CUS000019,2022-12-29,Use Planning Tool,Desktop,8,4,2
ENG0001299,CUS000363,2023-11-01,Login,Voice Assistant,4,2,1
ENG0001300,CUS000885,2021-04-06,Contact Support,Desktop,5,2,1
ENG0001301,CUS000785,2021-01-09,Update Profile,Voice Assistant,4,2,1
ENG0001302,CUS000412,2024-03-31,Research Product,Tablet,21,10,5
ENG0001303,CUS000220,2024-04-14,Complete Survey,Tablet,3,1,1
ENG0001304,CUS000562,2024-04-26,Use Planning Tool,Voice Assistant,30,15,7
ENG0001305,CUS000672,2023-04-07,Login,Tablet,4,2,1
ENG0001306,CUS000374,2024-08-24,Login,Tablet,1,1,1
ENG0001307,CUS000725,2023-12-19,Watch Educational Video,Tablet,5,2,1
ENG0001308,CUS000320,2024-01-10,Download Statement,Voice Assistant,2,1,1
ENG0001309,CUS000523,2024-08-01,Modify Investment,Mobile Phone,10,5,2
ENG0001310,CUS000333,2022-07-12,Login,Smart TV,2,1,1
ENG0001311,CUS000808,2023-08-21,Modify Investment,Tablet,10,5,2
ENG0001312,CUS000218,2024-09-08,Download Statement,Tablet,3,1,1
ENG0001313,CUS000646,2024-02-21,Modify Investment,Voice Assistant,7,3,1
ENG0001314,CUS000356,2023-02-22,Contact Support,Desktop,9,4,2
ENG0001315,CUS000745,2023-04-02,Research Product,Voice Assistant,22,11,5
ENG0001316,CUS000266,2023-11-21,Research Product,Desktop,8,4,2
ENG0001317,CUS000376,2022-07-14,Modify Investment,Tablet,4,2,1
ENG0001318,CUS000171,2024-04-18,Download Statement,Tablet,3,1,1
ENG0001319,CUS000014,2021-11-19,Download Statement,Tablet,3,1,1
ENG0001320,CUS000026,2024-01-25,Watch Educational Video,Voice Assistant,8,4,2
ENG0001321,CUS000409,2023-05-31,View Balance,Tablet,2,1,1
ENG0001322,CUS000962,2020-12-19,Download Statement,Smart TV,2,1,1
